delivery_id,order_id,rider_id,delivery_status,delivery_time
157,15310,11,Delivered,20:34:00
158,10032,33,Delivered,15:49:00
159,15675,7,In Transit,03:33:00
160,14387,31,Delivered,19:07:00
161,10030,14,Delivered,20:06:00
162,14203,28,Delivered,14:27:00
163,17508,16,In Transit,11:53:00
164,10736,19,Delivered,10:26:00
165,12068,17,Delivered,09:18:00
166,10107,26,In Transit,04:41:00
167,19645,6,Delivered,19:26:00
168,18895,9,Delivered,02:10:00
169,18021,17,Delivered,13:17:00
170,12233,31,Delivered,08:53:00
171,10994,12,Delivered,03:07:00
172,19413,23,In Transit,16:15:00
173,17059,5,In Transit,21:02:00
174,16790,3,Delivered,18:55:00
175,10361,24,Delivered,22:23:00
176,10305,17,Delivered,17:29:00
177,12628,26,Delivered,10:52:00
178,18966,4,Delivered,01:25:00
179,14514,12,In Transit,04:00:00
180,15911,1,Delivered,11:13:00
181,18314,21,Delivered,10:31:00
182,13101,19,Delivered,15:56:00
183,15704,21,Delivered,08:23:00
184,13899,18,Delivered,01:16:00
185,15441,3,Delivered,10:08:00
186,17931,32,Delivered,17:18:00
187,10622,10,Delivered,21:08:00
188,17236,15,Delivered,14:44:00
189,12499,5,Delivered,18:58:00
190,10714,4,In Transit,12:38:00
191,18404,28,Failed,18:49:00
192,12856,4,Delivered,23:29:00
193,14270,15,Delivered,16:15:00
194,12909,17,Failed,12:06:00
195,18081,3,Delivered,06:09:00
196,14517,10,Delivered,15:56:00
197,11262,23,Delivered,02:45:00
198,13161,18,Delivered,20:04:00
199,10971,1,Delivered,21:56:00
200,13913,31,Delivered,19:07:00
201,15199,1,In Transit,20:47:00
202,18847,3,Delivered,09:50:00
203,10260,3,Delivered,12:53:00
204,13791,19,In Transit,03:19:00
205,19203,29,Delivered,12:24:00
206,10488,25,In Transit,08:16:00
207,17908,33,Failed,17:36:00
208,10519,29,Delivered,22:17:00
209,18343,26,Failed,14:08:00
210,10312,4,Delivered,21:54:00
211,13232,14,Delivered,09:18:00
212,17933,27,Delivered,08:47:00
213,17458,33,Delivered,23:16:00
214,19784,22,In Transit,07:32:00
215,15184,3,Delivered,10:44:00
216,18077,23,Delivered,10:31:00
217,16502,21,Delivered,21:50:00
218,16791,23,Delivered,12:16:00
219,17773,4,Delivered,11:42:00
220,12738,21,Delivered,00:13:00
221,17842,31,In Transit,06:01:00
222,16262,21,Delivered,14:35:00
223,18206,26,Delivered,00:31:00
224,11248,24,Delivered,07:48:00
225,19336,11,Delivered,15:54:00
226,14195,29,Delivered,02:01:00
227,18001,3,Delivered,10:39:00
228,17378,1,Delivered,12:59:00
229,13435,19,Delivered,22:04:00
230,15382,22,Delivered,01:37:00
231,10959,14,Delivered,00:02:00
232,10417,14,Delivered,08:11:00
233,15742,16,Delivered,14:01:00
234,16728,33,Delivered,19:47:00
235,14382,13,In Transit,11:48:00
236,15197,12,Delivered,09:41:00
237,11113,33,Delivered,21:53:00
238,12689,33,Delivered,13:33:00
239,16473,29,Delivered,03:39:00
240,18820,5,Delivered,23:38:00
241,17808,6,In Transit,17:05:00
242,13411,31,In Transit,11:45:00
243,10081,16,In Transit,09:17:00
244,14614,31,In Transit,01:47:00
245,11374,25,Delivered,01:50:00
246,11510,33,Delivered,10:03:00
247,16443,13,Delivered,20:14:00
248,13071,10,In Transit,01:36:00
249,13016,24,Delivered,16:26:00
250,14823,10,Delivered,10:07:00
251,17822,31,Delivered,08:39:00
252,10093,13,In Transit,19:48:00
253,19421,3,Delivered,02:16:00
254,16600,34,Delivered,17:20:00
255,14443,28,Failed,00:21:00
256,17602,19,Delivered,13:46:00
257,13835,23,Failed,23:10:00
258,19702,32,Delivered,10:27:00
259,14322,13,Delivered,21:19:00
260,13394,33,In Transit,17:34:00
261,14752,34,Delivered,02:57:00
262,17229,33,Delivered,23:13:00
263,19191,5,Delivered,17:06:00
264,12361,3,Delivered,19:42:00
265,11148,7,Delivered,23:09:00
266,15666,24,Delivered,16:23:00
267,18075,22,Delivered,09:10:00
268,14943,23,In Transit,19:06:00
269,13663,30,Delivered,22:16:00
270,11563,18,Delivered,14:31:00
271,14113,32,Delivered,00:08:00
272,19050,7,Delivered,15:11:00
273,19276,33,In Transit,21:25:00
274,18538,5,Delivered,04:27:00
275,10795,28,In Transit,21:45:00
276,15854,8,Delivered,11:24:00
277,17619,15,Delivered,00:15:00
278,11594,4,Delivered,10:11:00
279,17418,34,Delivered,04:00:00
280,15267,5,Delivered,21:09:00
281,17147,33,Delivered,16:34:00
282,10089,5,Delivered,06:52:00
283,18695,34,In Transit,05:23:00
284,19732,26,Delivered,19:10:00
285,19446,1,Delivered,19:38:00
286,16754,4,Delivered,12:19:00
287,13502,26,Delivered,07:16:00
288,12234,33,Failed,04:45:00
289,12803,33,Delivered,22:59:00
290,14424,8,Delivered,08:15:00
291,15663,20,Delivered,02:56:00
292,17170,16,Delivered,14:40:00
293,18337,21,Delivered,14:23:00
294,12148,26,Delivered,22:49:00
295,17969,23,In Transit,19:18:00
296,16551,18,Delivered,14:03:00
297,17643,31,Delivered,20:43:00
298,16164,12,Delivered,21:42:00
299,11495,1,Delivered,03:11:00
300,17696,9,In Transit,07:08:00
301,17094,3,In Transit,03:22:00
302,11409,26,Delivered,19:00:00
303,16691,9,Delivered,02:33:00
304,13401,16,Delivered,00:12:00
305,10109,24,Delivered,18:30:00
306,15636,14,Delivered,15:05:00
307,18482,3,Failed,12:49:00
308,16604,34,Delivered,00:46:00
309,11091,33,Delivered,01:26:00
310,15560,24,In Transit,19:31:00
311,19412,9,Delivered,22:30:00
312,18143,13,Failed,13:16:00
313,18664,2,Delivered,05:36:00
314,16596,7,In Transit,16:06:00
315,10624,21,Delivered,15:05:00
316,16871,19,Delivered,06:37:00
317,14814,25,Delivered,02:27:00
318,16553,22,Delivered,16:21:00
319,17530,11,Delivered,03:00:00
320,15796,33,Failed,04:30:00
321,17437,32,In Transit,17:38:00
322,14218,21,Delivered,06:15:00
323,15941,20,Delivered,16:45:00
324,18501,8,Delivered,19:49:00
325,16429,9,Delivered,03:43:00
326,16827,25,Delivered,02:25:00
327,14131,25,In Transit,22:45:00
328,17802,33,Delivered,11:48:00
329,17754,2,Delivered,18:12:00
330,14722,19,Delivered,21:36:00
331,11651,20,Delivered,08:30:00
332,14141,29,Delivered,04:40:00
333,11618,6,Delivered,16:19:00
334,12030,17,Delivered,19:10:00
335,18518,25,Delivered,03:26:00
336,14576,4,Delivered,17:51:00
337,13993,30,Delivered,09:17:00
338,17377,20,Delivered,10:31:00
339,16150,3,Delivered,06:46:00
340,14909,23,In Transit,18:17:00
341,15027,18,Delivered,11:00:00
342,18261,26,Delivered,01:22:00
343,14732,8,Delivered,05:01:00
344,17549,17,Delivered,15:56:00
345,18135,31,Delivered,07:59:00
346,11607,33,Delivered,13:37:00
347,14774,27,Delivered,07:50:00
348,18110,4,In Transit,16:10:00
349,16952,22,In Transit,10:06:00
350,16005,26,Delivered,14:51:00
351,17729,32,Delivered,02:54:00
352,13542,24,Failed,22:31:00
353,10389,32,Delivered,17:25:00
354,11795,7,Delivered,04:39:00
355,18732,33,Failed,10:10:00
356,14920,31,Failed,11:11:00
357,15538,12,Delivered,10:39:00
358,13873,11,Delivered,21:19:00
359,18869,24,Delivered,19:08:00
360,12255,8,In Transit,16:28:00
361,13413,32,In Transit,23:43:00
362,15460,22,Delivered,23:42:00
363,14956,34,Delivered,20:18:00
364,17397,19,Delivered,18:50:00
365,15415,20,Delivered,05:28:00
366,17400,14,In Transit,13:25:00
367,17415,33,Delivered,15:04:00
368,19101,10,Delivered,06:56:00
369,14852,16,Delivered,23:12:00
370,12026,4,Delivered,05:53:00
371,12616,27,Delivered,07:49:00
372,17389,28,Delivered,14:38:00
373,12927,16,In Transit,14:00:00
374,11122,33,Delivered,23:26:00
375,12911,19,In Transit,13:26:00
376,18147,21,Delivered,09:39:00
377,17384,22,Delivered,20:51:00
378,13483,9,Delivered,16:39:00
379,10796,9,In Transit,15:40:00
380,11576,9,Delivered,04:41:00
381,16177,27,Delivered,15:15:00
382,16267,17,Delivered,08:54:00
383,12459,8,Delivered,12:46:00
384,13313,16,Failed,21:19:00
385,11254,18,In Transit,23:08:00
386,16835,33,Delivered,19:28:00
387,18795,1,Delivered,09:31:00
388,13838,12,Delivered,10:41:00
389,14399,6,Delivered,21:02:00
390,13596,5,In Transit,03:23:00
391,16622,16,Failed,16:41:00
392,18383,18,Delivered,05:32:00
393,12125,18,Delivered,13:02:00
394,13239,1,Delivered,13:59:00
395,15404,19,Delivered,13:12:00
396,15999,8,Delivered,11:51:00
397,15939,3,Delivered,12:56:00
398,12046,25,Delivered,12:21:00
399,11579,5,Delivered,18:00:00
400,10015,19,Delivered,06:31:00
401,12674,18,Delivered,21:51:00
402,17017,31,In Transit,11:54:00
403,18721,33,Delivered,11:07:00
404,18850,18,In Transit,12:25:00
405,14813,16,Delivered,18:59:00
406,11085,16,In Transit,01:22:00
407,14984,7,In Transit,06:31:00
408,17156,14,Delivered,03:41:00
409,12885,25,Delivered,09:08:00
410,10334,32,In Transit,12:36:00
411,17205,22,Delivered,13:00:00
412,14368,16,In Transit,04:27:00
413,13080,29,Delivered,17:10:00
414,17204,16,Delivered,09:26:00
415,19910,12,Delivered,15:04:00
416,18865,17,Delivered,16:46:00
417,10264,27,Failed,01:34:00
418,14338,25,Delivered,15:17:00
419,18896,13,Delivered,01:51:00
420,18448,8,Delivered,19:34:00
421,15904,5,Delivered,05:43:00
422,11499,12,Delivered,17:34:00
423,14191,3,Delivered,16:52:00
424,17486,33,Delivered,02:41:00
425,19644,22,Delivered,02:28:00
426,18311,9,Delivered,14:53:00
427,17591,18,Delivered,07:37:00
428,10501,29,In Transit,23:36:00
429,19156,27,In Transit,04:24:00
430,19415,17,Delivered,15:51:00
431,13096,34,Delivered,17:54:00
432,14632,3,Delivered,19:15:00
433,10368,5,Delivered,21:40:00
434,14059,14,Delivered,04:47:00
435,18175,3,In Transit,04:44:00
436,14631,23,Delivered,09:20:00
437,16071,30,In Transit,01:03:00
438,12665,23,Delivered,12:39:00
439,11027,27,Delivered,08:56:00
440,15909,10,Failed,00:38:00
441,15051,25,Delivered,17:25:00
442,16329,13,Delivered,11:04:00
443,19734,16,Delivered,03:55:00
444,11692,34,Delivered,17:28:00
445,10674,22,Delivered,22:28:00
446,15573,17,Delivered,20:29:00
447,15767,23,Delivered,23:01:00
448,15157,9,Delivered,03:24:00
449,10734,2,In Transit,09:32:00
450,13527,32,Delivered,04:02:00
451,10569,22,Delivered,00:08:00
452,19188,13,Delivered,14:50:00
453,12923,8,Delivered,13:24:00
454,17912,1,Delivered,09:08:00
455,11559,17,Delivered,15:00:00
456,10102,12,Delivered,14:08:00
457,13008,4,Delivered,09:40:00
458,17202,13,Delivered,23:34:00
459,10304,31,In Transit,03:51:00
460,10077,7,Delivered,17:03:00
461,16755,23,Delivered,19:25:00
462,18630,24,Delivered,18:51:00
463,11209,5,Delivered,22:24:00
464,17743,5,In Transit,03:10:00
465,18215,17,Delivered,08:21:00
466,18945,30,In Transit,03:02:00
467,18414,9,Delivered,20:04:00
468,11776,6,Delivered,00:01:00
469,13474,25,Failed,19:34:00
470,10484,19,Delivered,19:05:00
471,12190,16,In Transit,23:39:00
472,10347,21,Delivered,11:58:00
473,15482,2,Delivered,23:15:00
474,18362,10,Delivered,06:57:00
475,11473,16,Delivered,08:07:00
476,15101,15,Delivered,15:00:00
477,16766,13,Delivered,03:24:00
478,18707,13,Delivered,03:29:00
479,14930,32,Delivered,19:09:00
480,16330,8,Delivered,09:31:00
481,12610,18,In Transit,10:36:00
482,10004,26,Delivered,00:47:00
483,12214,10,Delivered,04:01:00
484,14828,31,Delivered,12:09:00
485,10857,33,In Transit,09:46:00
486,16978,29,Delivered,07:51:00
487,15886,5,Delivered,01:00:00
488,10625,13,Delivered,23:37:00
489,10291,1,Delivered,11:14:00
490,12019,23,Delivered,06:25:00
491,10669,3,Failed,05:31:00
492,18922,3,Delivered,13:36:00
493,18265,7,Delivered,07:39:00
494,19697,15,Failed,08:20:00
495,11632,3,Delivered,06:49:00
496,15171,29,In Transit,19:19:00
497,17206,30,In Transit,03:30:00
498,12523,18,Delivered,18:48:00
499,12216,11,Delivered,19:53:00
500,16969,1,Delivered,11:10:00
501,16497,29,Delivered,19:06:00
502,16214,10,In Transit,16:26:00
503,17033,28,In Transit,01:40:00
504,17421,31,Delivered,21:00:00
505,11108,19,Delivered,08:40:00
506,10451,3,Delivered,10:43:00
507,16290,15,Delivered,08:40:00
508,19967,33,Delivered,17:05:00
509,10136,26,In Transit,18:41:00
510,11786,16,Delivered,14:56:00
511,13405,33,In Transit,13:48:00
512,12907,20,Delivered,15:12:00
513,18305,13,Delivered,06:30:00
514,17493,33,Delivered,01:50:00
515,16101,5,In Transit,02:19:00
516,14505,14,Delivered,08:46:00
517,15054,27,Delivered,08:32:00
518,15206,23,Delivered,00:05:00
519,14081,14,Delivered,06:25:00
520,16919,4,Delivered,17:24:00
521,16803,19,Delivered,15:27:00
522,15207,4,Delivered,03:05:00
523,10533,30,Delivered,06:10:00
524,14831,19,Delivered,06:14:00
525,14039,31,In Transit,13:23:00
526,14085,31,Delivered,03:57:00
527,13205,9,Delivered,04:25:00
528,17111,13,Delivered,21:18:00
529,10331,14,Delivered,01:42:00
530,14958,10,Delivered,06:07:00
531,13034,31,In Transit,11:05:00
532,17685,23,Delivered,18:03:00
533,11598,27,Delivered,13:55:00
534,19920,6,Delivered,14:16:00
535,13598,26,Delivered,12:28:00
536,19039,2,Failed,03:08:00
537,18002,13,Failed,23:50:00
538,10591,19,Delivered,00:27:00
539,10648,1,Delivered,09:52:00
540,19103,32,In Transit,03:36:00
541,18016,22,Delivered,12:15:00
542,13772,29,Delivered,21:06:00
543,19040,2,Failed,17:15:00
544,15083,11,Delivered,04:09:00
545,17883,17,Delivered,16:33:00
546,19363,8,In Transit,17:09:00
547,14211,22,Delivered,03:32:00
548,18835,4,Delivered,01:10:00
549,18700,11,Delivered,12:39:00
550,11796,8,Delivered,03:44:00
551,12587,9,Delivered,15:15:00
552,18356,26,Delivered,13:16:00
553,12317,2,Delivered,20:58:00
554,14186,16,Failed,22:56:00
555,18828,31,Delivered,02:34:00
556,17073,6,Delivered,13:47:00
557,15235,21,Delivered,00:39:00
558,18744,26,In Transit,13:22:00
559,18671,19,Delivered,01:28:00
560,14769,28,Delivered,19:14:00
561,19973,8,Delivered,12:57:00
562,17145,14,Delivered,19:52:00
563,12914,24,Delivered,04:49:00
564,19872,26,Delivered,19:14:00
565,19894,31,In Transit,22:36:00
566,12076,32,In Transit,15:04:00
567,14303,2,Failed,21:55:00
568,15823,25,Delivered,17:04:00
569,12150,2,Failed,18:26:00
570,10145,1,In Transit,03:46:00
571,14964,12,Delivered,21:48:00
572,18160,9,Delivered,13:14:00
573,19031,28,Delivered,18:08:00
574,14776,33,Delivered,14:05:00
575,18934,22,Delivered,17:24:00
576,17750,25,Delivered,15:09:00
577,19829,18,Delivered,10:15:00
578,19215,6,Delivered,10:11:00
579,16061,18,Delivered,18:11:00
580,19476,16,Delivered,05:32:00
581,16410,15,In Transit,23:02:00
582,13318,8,Failed,03:07:00
583,17465,13,Delivered,01:05:00
584,13062,7,Delivered,16:27:00
585,11356,17,Delivered,05:37:00
586,14515,32,Delivered,13:20:00
587,15506,22,Delivered,15:14:00
588,15251,13,Delivered,11:20:00
589,14512,23,Failed,22:52:00
590,11731,29,Delivered,07:11:00
591,11759,22,Delivered,00:31:00
592,16651,1,Delivered,16:06:00
593,16647,29,Delivered,06:14:00
594,19861,5,Delivered,03:01:00
595,14140,10,Delivered,02:28:00
596,19394,19,Delivered,04:22:00
597,15124,7,Delivered,11:48:00
598,10001,13,Delivered,14:02:00
599,11865,10,Delivered,18:02:00
600,10544,2,Delivered,12:16:00
601,10350,6,Delivered,17:37:00
602,16907,8,Delivered,14:27:00
603,19766,25,Delivered,09:21:00
604,12524,7,Delivered,13:36:00
605,13465,23,Delivered,14:54:00
606,10458,19,Delivered,15:40:00
607,13024,22,Delivered,20:24:00
608,17262,13,Delivered,17:17:00
609,19516,21,Delivered,04:17:00
610,17873,1,Delivered,21:29:00
611,16626,19,In Transit,00:55:00
612,12535,33,Delivered,10:16:00
613,10132,4,Delivered,04:26:00
614,13705,3,Delivered,18:01:00
615,11373,27,Delivered,02:59:00
616,16201,28,Delivered,18:21:00
617,14857,6,Delivered,18:30:00
618,14713,6,Delivered,06:41:00
619,15545,23,In Transit,22:41:00
620,11414,33,Delivered,04:32:00
621,14114,16,Delivered,05:03:00
622,10656,24,Delivered,16:32:00
623,18138,5,Delivered,12:00:00
624,14099,13,In Transit,01:12:00
625,10593,12,Delivered,16:54:00
626,18709,5,Failed,16:11:00
627,13124,31,Delivered,04:52:00
628,13048,28,Delivered,04:12:00
629,13888,28,Delivered,20:13:00
630,15736,30,Delivered,08:11:00
631,12185,18,Delivered,19:15:00
632,12146,27,Delivered,21:10:00
633,17048,26,Delivered,02:11:00
634,13106,18,Delivered,02:46:00
635,19234,33,Delivered,06:49:00
636,19097,25,Delivered,03:25:00
637,12770,31,Delivered,23:21:00
638,15222,2,Delivered,17:27:00
639,15834,33,Delivered,10:29:00
640,11733,32,Delivered,14:41:00
641,10266,18,Failed,18:39:00
642,15145,17,Delivered,21:38:00
643,18268,34,Delivered,14:59:00
644,13938,7,Delivered,10:43:00
645,10762,30,Delivered,12:41:00
646,17221,12,Delivered,12:32:00
647,18440,11,Delivered,03:55:00
648,13258,4,Delivered,16:27:00
649,14339,25,Delivered,21:19:00
650,14363,32,In Transit,10:44:00
651,10317,20,Failed,22:40:00
652,18070,31,Delivered,04:41:00
653,11852,4,Delivered,08:32:00
654,12485,1,Delivered,04:03:00
655,19874,3,Delivered,19:41:00
656,19575,22,Delivered,16:35:00
657,11079,17,Delivered,01:12:00
658,18359,14,Delivered,06:35:00
659,17334,13,Failed,20:25:00
660,11072,2,In Transit,21:14:00
661,10104,13,Delivered,04:21:00
662,15749,16,Delivered,01:54:00
663,11419,18,Delivered,15:44:00
664,11659,7,Delivered,14:17:00
665,15285,30,Delivered,04:45:00
666,11150,7,In Transit,20:32:00
667,17151,15,Delivered,11:55:00
668,11569,19,Delivered,04:38:00
669,11088,2,Delivered,07:55:00
670,16086,13,Delivered,09:03:00
671,18675,31,Delivered,12:10:00
672,18342,16,Delivered,15:08:00
673,17812,6,In Transit,20:49:00
674,16085,28,Delivered,10:44:00
675,18774,32,Delivered,05:15:00
676,18758,10,Delivered,17:49:00
677,11693,18,Delivered,14:13:00
678,14735,4,Delivered,10:16:00
679,13388,9,Delivered,06:24:00
680,13647,7,Delivered,04:07:00
681,11684,8,Delivered,08:22:00
682,10009,7,Delivered,08:56:00
683,16063,3,Delivered,11:09:00
684,16517,17,Delivered,16:22:00
685,14124,2,Delivered,05:07:00
686,18730,15,Delivered,00:39:00
687,16046,29,Delivered,15:54:00
688,10568,22,Delivered,13:25:00
689,19162,4,Delivered,03:04:00
690,11804,6,Delivered,13:16:00
691,18502,26,Delivered,05:55:00
692,14901,11,Delivered,04:31:00
693,11600,26,In Transit,13:46:00
694,17932,17,Delivered,02:38:00
695,19548,24,In Transit,15:25:00
696,12824,28,Delivered,21:49:00
697,15468,31,Delivered,23:57:00
698,13530,13,In Transit,13:22:00
699,18684,16,In Transit,13:10:00
700,11156,15,Delivered,23:52:00
701,16548,18,Delivered,09:53:00
702,19089,27,Delivered,08:04:00
703,17621,28,Delivered,15:24:00
704,18297,9,Delivered,07:01:00
705,14541,12,Delivered,19:46:00
706,19135,15,In Transit,06:48:00
707,16483,21,Delivered,04:58:00
708,15827,33,Delivered,03:54:00
709,11191,19,Delivered,21:21:00
710,17445,23,Delivered,09:27:00
711,18521,13,Delivered,10:50:00
712,10961,1,Delivered,22:51:00
713,17455,29,Delivered,20:36:00
714,10037,24,Delivered,00:25:00
715,17517,16,Delivered,00:29:00
716,17645,25,Delivered,17:52:00
717,14439,23,Delivered,00:35:00
718,16162,28,Delivered,21:30:00
719,17745,16,Delivered,15:06:00
720,19588,11,In Transit,01:20:00
721,18120,3,Delivered,09:50:00
722,16968,15,Delivered,14:12:00
723,15719,1,Delivered,23:01:00
724,10578,7,Delivered,11:33:00
725,19834,1,Delivered,13:31:00
726,14103,32,Delivered,07:58:00
727,17647,9,In Transit,08:11:00
728,14152,29,Delivered,23:25:00
729,13131,26,Delivered,10:42:00
730,14891,23,Delivered,04:20:00
731,19976,29,Delivered,22:51:00
732,17472,33,Delivered,20:43:00
733,11834,7,Delivered,04:44:00
734,19149,12,Delivered,03:34:00
735,14892,31,In Transit,05:42:00
736,12288,32,Delivered,17:59:00
737,11331,20,Failed,15:29:00
738,12772,17,Delivered,03:07:00
739,13687,3,Delivered,02:54:00
740,18284,1,Delivered,01:27:00
741,15929,27,Delivered,03:09:00
742,10638,33,Delivered,21:54:00
743,10048,20,Delivered,02:00:00
744,12603,14,Delivered,11:23:00
745,11966,5,Delivered,04:31:00
746,12169,23,Delivered,07:25:00
747,15050,15,Delivered,16:08:00
748,13335,6,Delivered,19:43:00
749,13020,33,Delivered,23:25:00
750,18765,19,Delivered,19:17:00
751,19177,13,Delivered,11:12:00
752,11361,29,Delivered,15:44:00
753,15799,6,Delivered,21:20:00
754,19401,15,Delivered,16:46:00
755,13252,16,Delivered,05:15:00
756,16301,24,Delivered,19:23:00
757,12252,23,Delivered,13:12:00
758,16028,10,Delivered,01:57:00
759,11176,17,Delivered,09:33:00
760,18800,30,In Transit,03:58:00
761,13280,10,Delivered,10:12:00
762,12974,19,Delivered,10:50:00
763,13397,29,Delivered,17:34:00
764,16940,2,In Transit,13:19:00
765,10966,19,Delivered,09:41:00
766,18575,7,Delivered,12:05:00
767,10743,26,Failed,12:28:00
768,17515,15,Delivered,18:07:00
769,13315,3,Failed,23:15:00
770,14899,16,Delivered,00:13:00
771,19341,2,Delivered,15:46:00
772,14673,31,Delivered,17:25:00
773,18619,28,Delivered,07:38:00
774,11218,7,Delivered,13:11:00
775,14398,30,Delivered,19:29:00
776,16081,7,Delivered,00:25:00
777,12615,29,In Transit,19:13:00
